Hotel_Name,Review_ID,Author,Date,Classification,Quote_Text
 FEBOR PARK HOTEL LEVENT, FE_P3_R15,Unknown Author,N/A,Negative,"In general, I did not like anything"
 FEBOR PARK HOTEL LEVENT, FE_P3_R17,Unknown Author,N/A,Positive,"There was a seosoned lady there who fixed most of the problems such as cleaning the van in the bathroom .repairing broken tools such as the gear of the roof windows or dush of the bathroom .  The breakfast was simple but competant.the area of breakfast place wasclean and accaptable ant attractive .the staff who was  working there were hardworking and had diciplines.but they didnot serve different type of bread and that was their weack point .
There was a young lady there who was polite and responsible .....She helped us by ordering other staffs giving us boiled water .They brougth us the dishes (plate, knives, spoons,....)which we ordered but there were no hankerchief there. but the place of the Hotel was really good near the Metro station .and have a supermaket near it self."
 FEBOR PARK HOTEL LEVENT, FE_P3_R17,Unknown Author,N/A,Negative,"There was  a rude and aggressive man at the receptions who insisted to recieve just euro from the guest ,Ido not know why he refused to accept U,S,A dollar , And the most important subject which bothered me a lot was that Ihave written that Iwould pay the fee for three nigths by cash and later ,and they were not allowed to take their money from the credit number I  had annnanunced during the resevation in booking .com but becouse the nigth before check-out Iwent to the reception and informed them that Iwould be ready to pay the fee but in U.S.A Dollar . they said to me that tomarrow the bosss would be here and you can speak with him there .But the date of check-out when Iwent to the reception the rude man simply said that they have taen the fee from the credit card and every thing is done!
but the credit card number  which I have released belongs to my cousin and not me ! and it was a shame  on me that the money was taken from him due the international problems which have Islamic Republic of Iran with International accounts and connection . please ask them not to do this action any further. 
Secondly, the boss there was not pleased to help me by the problem which I had had  with their WiFi Internet .Just once there was a staff there who he asked to help me for first time but the second time he refused to help me and just said    Iam not the ITingineur and the WifI is connected ! but Ihad on-line class which was important for me and was their weackest point. Third, they did not have a public area such as Library ,or conferance room and so an .to let the guests read or use the Internet after they check-out and when they are waiting for their depature fligth . THE LAST POINT WAS THEIR WINDOWS WERE NOT CLEAN AT ALL THEY NEED TO EMPLOY EXTRA SERVANT TO DO THESE ISSUES ,Ttoo. they did not have any desk and light for that for a person who should study or work with the Internet . The kettle in our room had a broken door ! they really need repairing their tools I think."
 FEBOR PARK HOTEL LEVENT, FE_P3_R18,Unknown Author,N/A,Positive,location
 FEBOR PARK HOTEL LEVENT, FE_P3_R18,Unknown Author,N/A,Negative,"mold in the shower - a lot of it in our first room, then we found it again in a new room that hotel provided to us."
 FEBOR PARK HOTEL LEVENT, FE_P3_R19,Unknown Author,N/A,Positive,the room was very comfortable and clean.
 FEBOR PARK HOTEL LEVENT, FE_P3_R19,Unknown Author,N/A,Negative,"I didn't like the reception staff as they were of no use in understanding what I was asking,Bad English bad communication and they did nothing to try and have a dialogue.I had problems throughout my stay I needed the internet to communicate with my family and look for places to visit but as a connection it was time consuming and every time I had to go Down in reception and ask for the internet to be reactivated but this was not a problem the real problem they were looking for excuses not to give you the connection How is it possible today not to have a connection or to deprive the customer who is paying of denying them the internet connection for which currently in 2023 it is essential to accomplish many things of the Own day.
In the room they gave a small bottle of water and a coffee if you asked for a water plus they pretended not to understand you so as not to give you another bottle of water. Staff and reception to be reorganised.I do not recommend this hotel and I don't think I will ever go back."
 Golden Age Hotel, GO_P1_R1,Unknown Author,N/A,Positive,The staff went beyond to help in all my needs
 Golden Age Hotel, GO_P1_R1,Unknown Author,N/A,Negative,It was all very good
 Golden Age Hotel, GO_P1_R2,Unknown Author,N/A,Positive,"Great breakfast, clean rooms, great service"
 Golden Age Hotel, GO_P1_R2,Unknown Author,N/A,Negative,Somebody was trying to open the door at the middle of the night!
 Golden Age Hotel, GO_P1_R3,Unknown Author,N/A,Positive,Lication mainly
 Golden Age Hotel, GO_P1_R3,Unknown Author,N/A,Negative,Lightning is not good
 Golden Age Hotel, GO_P1_R4,Unknown Author,N/A,Positive,Location and staff
 Golden Age Hotel, GO_P1_R4,Unknown Author,N/A,Negative,"Breakfast, ventilation
 during breakfast"
 Golden Age Hotel, GO_P1_R5,Unknown Author,N/A,Positive,Location breakfast cleanness good staff
 Golden Age Hotel, GO_P1_R5,Unknown Author,N/A,Negative,Problems of elevator/lift
 Golden Age Hotel, GO_P1_R6,Unknown Author,N/A,Positive,"One of the best hotels I’ve ever stayed in!
The location is perfect — just a few steps away from Taksim Square. The rooms are spacious and clean, breakfast is good, and the customer service is excellent.
Special thanks to Hakim Ramzna for his kindness and great help — he was always friendly and very cooperative. Highly recommended!"
 Golden Age Hotel, GO_P1_R7,Unknown Author,N/A,Positive,"Mesut from the reception he's the best ,he always ready to help.
Thank you 😊"
 Golden Age Hotel, GO_P1_R8,Unknown Author,N/A,Positive,"great location , clean lobby and helfull reception"
 Golden Age Hotel, GO_P1_R8,Unknown Author,N/A,Negative,"bad smell eminating from bathroom, rooms were not serviced with fresh cups,tea bags and sugar daily (had to request it daily) . breakfast room did not have milk for the cereals on the last day of stay( requested from waiter and was told they dont have ), they didnt even try to assist"
 Golden Age Hotel, GO_P1_R9,Unknown Author,N/A,Positive,The place is amazing around everything
 Golden Age Hotel, GO_P1_R9,Unknown Author,N/A,Negative,The receptionist 😤
 Golden Age Hotel, GO_P1_R10,Unknown Author,N/A,Positive,This is 2nd time I stay there and every time I will come back same hotel for sure
 Golden Age Hotel, GO_P1_R11,Unknown Author,N/A,Positive,"breakfast, staff, clean,.......etc"
 Golden Age Hotel, GO_P1_R12,Unknown Author,N/A,Positive,I asked for an early check in .. they upgrade me  and  checked in at 7am.
 Golden Age Hotel, GO_P1_R13,Unknown Author,N/A,Positive,"As expected of big city hotel. Clean, polite, with some nice touches at history. Wide breakfast choice and opening hours."
 Golden Age Hotel, GO_P1_R13,Unknown Author,N/A,Negative,Funny smell on top pool floor and pool very enclosed. Only one sachet of coffee per person in room. Afternoon tea advertised for an hour but cake ran out in first 30min. But these are minor. Overall good experience.
 Golden Age Hotel, GO_P1_R14,Unknown Author,N/A,Positive,"Very nice hotel ,breakfast,location everything was 👍"
 Golden Age Hotel, GO_P1_R15,Unknown Author,N/A,Positive,"Breakfast, location."
 Golden Age Hotel, GO_P1_R16,Unknown Author,N/A,Positive,"The staff were friendly and extremely helpful.
Location was ideal."
 Golden Age Hotel, GO_P1_R16,Unknown Author,N/A,Negative,The toilet is too close to the shower where you cannot actually sit on the loo properly as the shower glass is touching the toilet.
 Golden Age Hotel, GO_P1_R17,Unknown Author,N/A,Positive,"Everything was great from services, breakfast, and location.
i will come back again for sure."
 Golden Age Hotel, GO_P1_R17,Unknown Author,N/A,Negative,Everything was acceptable
