Hotel_Name,Review_ID,Author,Date,Classification,Quote_Text
 The Marmara Pera, TH_P2_R14,Unknown Author,N/A,Negative,"When the air con was switched on it smelt like cigarettes in our room. This was particularly noticeable in the evening. We asked at reception about this and they told us someone must be smoking in another room and all we could do is open a window. It was irritating for us as we don’t smoke and there were signs everywhere stating it was a no smoking room/ floor. The shower basin was shallow and filled up too quickly so had to be turned off mid shower to allow it to drain. The room service staff were very friendly but knocked before 9am each day to turn down the room. We asked for it to be carried out later in the day, but when we returned on one occasion the toilet roll had not been replaced so we ran out. The gym area was poor- small disused windowless basement. Worst gym my husband has ever used anywhere. Very old equipment, which did not work well."
 The Marmara Pera, TH_P2_R15,Unknown Author,N/A,Negative,The pool on the photos is much more promising. The first impressiona at the reception desk wasnt that nice.
 The Marmara Pera, TH_P2_R16,Unknown Author,N/A,Positive,"Stunning views, spotlessly clean, really lovely Turkish breakfast."
 The Marmara Pera, TH_P2_R16,Unknown Author,N/A,Negative,No clean towels at the pool. Corridors have a stale smell (not in the rooms though).
 The Marmara Pera, TH_P2_R17,Unknown Author,N/A,Positive,Very good location close to Galata Tower and shopping streets. Lots of food options near by.
 The Marmara Pera, TH_P2_R17,Unknown Author,N/A,Negative,Pool closes at 6pm but we were not informed of this. Some street noise but no real bother
 The Marmara Pera, TH_P2_R18,Unknown Author,N/A,Positive,👍
 The Marmara Pera, TH_P2_R18,Unknown Author,N/A,Negative,👍
 The Marmara Pera, TH_P2_R19,Unknown Author,N/A,Positive,"Great breakfast, better than any buffer I've had in the U.S.
Location was fine for us, walkable neighborhood."
 The Marmara Pera, TH_P2_R20,Unknown Author,N/A,Positive,Central location right off istiklal and in lovely pera. View from the rooftop pool is WONDERFUL!  Special thanks to RAMAZAN in front office!
 The Marmara Pera, TH_P2_R21,Unknown Author,N/A,Positive,I loved the rooftop bar. Amazing views!
 The Marmara Pera, TH_P2_R21,Unknown Author,N/A,Negative,The room was a bit outdated. It needs to be revamped and it is a bit small
 The Marmara Pera, TH_P2_R22,Unknown Author,N/A,Positive,location was great- walking distance to Istiklal Street and Taksim. room was great size. got disappointed with the bathroom as it's design was not the one in the photos of the property. and we had the city view which was alright.
 The Marmara Pera, TH_P2_R22,Unknown Author,N/A,Negative,the bathroom which was not in none of the photos of the hotel. we thought it is modern based on the photos but had violet tiles which looked dated.
 The Marmara Pera, TH_P2_R23,Unknown Author,N/A,Positive,Love the location of this property.  So convenient to Istiklal and Galata.  Easy to walk to Karikoy too and over the bridge.   Great views. Rooftop is nice.
 The Marmara Pera, TH_P2_R23,Unknown Author,N/A,Negative,"It’s a perfectly fine hotel, but it’s a bit dated. Carpeted rooms, small bathrooms with shower of tub situation, lowing ceilings.  But I’m very tall and it is still a great property and incredible value."
 The Marmara Pera, TH_P2_R24,Unknown Author,N/A,Positive,"The location and room view and breakfast.
I would like to extend my heartfelt thanks to Mr. Mohammed for the warm welcome and professional service I received during my stay at your hotel. His attentiveness and dedication to ensuring a comfortable and enjoyable experience truly stood out and made my visit memorable.
Thank you, Mr. Mohammed, for your outstanding hospitality."
 The Marmara Pera, TH_P2_R24,Unknown Author,N/A,Negative,The gym is small.
 The Marmara Pera, TH_P2_R25,Unknown Author,N/A,Positive,"View , Service, Comfort"
 The Marmara Pera, TH_P2_R25,Unknown Author,N/A,Negative,Sea facing view was great but the noise from clubs around could be heard in the night even when the windows were tightly closed
 The Marmara Pera, TH_P3_R1,Unknown Author,N/A,Positive,Central place in the hart of the center close to public transport
 The Marmara Pera, TH_P3_R1,Unknown Author,N/A,Negative,"Rooftop terras not able to visit, closed because i can start to rain while it didnt rain at all"
 The Marmara Pera, TH_P3_R2,Unknown Author,N/A,Positive,The breakfast was excellent and so was the location
